#mpa_vJan21_CHOCOPhlAnSGB_202103
clade_name	R10_S209_L002_R1_001.fastqd_metagenome	R11_S210_L002_R1_001.fastqd_metagenome	R12_S211_L002_R1_001.fastqd_metagenome	R13_S212_L002_R1_001.fastqd_metagenome	R14_S213_L002_R1_001.fastqd_metagenome	R15_S214_L002_R1_001.fastqd_metagenome	R16_S215_L002_R1_001.fastqd_metagenome	R17_S216_L002_R1_001.fastqd_metagenome	R18_S217_L002_R1_001.fastqd_metagenome	R19_S218_L002_R1_001.fastqd_metagenome	R1_S200_L002_R1_001.fastqd_metagenome	R20_S219_L002_R1_001.fastqd_metagenome	R21_S220_L002_R1_001.fastqd_metagenome	R22_S221_L002_R1_001.fastqd_metagenome	R2_S201_L002_R1_001.fastqd_metagenome	R3_S202_L002_R1_001.fastqd_metagenome	R4_S203_L002_R1_001.fastqd_metagenome	R5_S204_L002_R1_001.fastqd_metagenome	R6_S205_L002_R1_001.fastqd_metagenome	R7_S206_L002_R1_001.fastqd_metagenome	R8_S207_L002_R1_001.fastqd_metagenome	R9_S208_L002_R1_001.fastqd_metagenome
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella_dubosii|t__SGB2089	6.51073	2.8087	4.94674	4.33468	0.26287	2.12708	7.77769	12.34949	8.77249	3.04001	4.99218	6.61365	0.65647	5.51092	2.09341	4.08316	1.15667	6.44207	1.86085	7.05327	7.87595	9.82932
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Mucispirillum|s__Mucispirillum_schaedleri|t__SGB19472	5.83779	0.11422	0.25901	0.61155	0.00806	0.03996	1.35008	0.59974	0.23708	0.03101	0.05447	0.00175	0.18972	5.36632	1.60222	0.0616	0.00213	0.37349	1.87337	0.16119	1.68193	0.83085
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus|s__Ligilactobacillus_murinus|t__SGB7077	5.40112	7.92542	29.30806	18.98826	71.15168	18.21841	4.90342	5.93162	2.78336	29.29376	26.79883	46.29956	28.0475	18.84345	5.43133	25.99433	5.54232	15.62213	5.52002	55.30303	16.29933	4.95604
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28828|s__GGB28828_SGB41484|t__SGB41484	4.44239	0.03739	0.0	1.0362	0.05208	0.3306	0.41579	0.8616	0.86782	0.0997	0.10294	0.04968	0.00527	0.03132	0.0538	0.26612	0.0	0.67699	0.00401	0.00117	2.09272	0.3559
k__Bacteria|p__Firmicutes|c__CFGB8123|o__OFGB8123|f__FGB8123|g__GGB25052|s__GGB25052_SGB36974|t__SGB36974	3.88785	0.52446	0.94379	0.22487	0.01552	0.8144	0.29443	0.01363	0.03017	0.01303	0.20686	0.00249	0.04671	1.14032	0.17761	0.39115	0.46882	0.9531	0.72231	0.00459	0.64378	0.11983
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28784|s__GGB28784_SGB41437|t__SGB41437	3.2615	0.11989	0.22462	0.03313	2.7457	0.3043	1.14616	1.56164	3.81008	0.05047	0.02745	0.00657	0.71664	0.07498	0.0636	0.18144	0.16267	0.24618	0.25304	0.00111	3.27545	0.03475
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum|s__Paramuribaculum_intestinale|t__SGB21584	3.05145	3.68065	2.17953	2.55216	2.29507	3.41458	5.56746	6.52288	5.21007	1.6376	5.23549	1.29159	1.35861	3.62916	2.22806	3.55171	2.75084	3.42295	1.63954	1.70982	4.85188	4.25182
k__Bacteria|p__Bacteroidetes|c__CFGB4425|o__OFGB4425|f__FGB4425|g__GGB27898|s__GGB27898_SGB40333|t__SGB40333	2.61727	6.10926	1.06854	2.58895	0.3433	3.81066	3.31199	1.90612	1.35977	1.96292	5.42767	0.18448	0.21558	1.68038	4.57985	5.0722	5.15991	7.15072	7.27365	2.21669	8.55048	6.58061
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28782|s__GGB28782_SGB41435|t__SGB41435	2.42763	0.0	0.02614	0.01596	0.01749	0.01804	0.14813	0.58225	1.11316	0.00128	0.0	0.11138	0.01505	0.00213	0.0	0.0028	0.0	0.03399	0.00746	0.0	0.07816	0.01304
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae_unclassified|s__Muribaculaceae_bacterium|t__SGB27763	2.15914	1.15928	1.42518	3.18059	0.14354	0.5133	3.56894	4.6826	3.10763	3.30761	1.97142	1.71674	1.04621	4.52073	0.50631	1.61109	1.10936	1.99747	0.56876	2.54447	3.09726	4.06931
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__bacterium_1xD8_6|t__SGB29416	2.13649	0.0	0.0	0.0	0.0	0.02019	1.12261	0.32787	0.52298	0.0	0.12887	0.0	0.01315	0.00134	0.26051	0.04483	0.0	0.38687	0.38147	0.00215	0.27695	0.1444
k__Bacteria|p__Firmicutes|c__CFGB10348|o__OFGB10348|f__FGB10348|g__GGB31850|s__GGB31850_SGB45228|t__SGB45228	1.92596	0.06274	0.50432	0.05238	0.00096	0.05547	0.02265	0.00736	0.02419	0.0	0.0	0.0	0.00032	0.01394	0.0	0.00336	0.0	0.07933	0.30533	0.0	0.75094	0.00469
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_A2|t__SGB7277	1.79678	0.1366	4.1143	0.01236	0.09957	0.398	0.38057	0.25489	0.66597	0.29966	0.09	1.91554	0.38021	0.0872	0.27846	0.05632	0.21164	1.19761	1.07669	0.00548	0.10286	0.00142
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiaceae|g__GGB31228|s__GGB31228_SGB44528|t__SGB44528	1.7249	0.0	0.01955	0.55478	0.1573	0.99535	0.5164	0.23678	0.35361	0.10037	0.0	0.08903	1.32941	13.75728	0.0	0.0	0.0	0.0	0.00399	0.07211	1.2729	0.32818
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_MGM1|t__SGB21581	1.69332	5.67377	2.85513	7.05787	0.02726	5.01362	3.29009	7.45575	5.00864	1.71269	3.92958	0.41344	0.20861	0.92958	5.35701	4.27628	9.31417	3.69398	5.12341	3.81324	2.19824	8.9385
k__Bacteria|p__Firmicutes|c__CFGB9656|o__OFGB9656|f__FGB9656|g__GGB28996|s__GGB28996_SGB41712|t__SGB41712	1.64728	0.25185	0.23682	0.05403	0.0	0.07969	0.22158	0.42601	0.30363	0.0	0.02698	0.00041	0.00677	0.01152	0.0561	0.0916	0.00322	0.05907	0.0	0.00128	0.04006	0.15474
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella_muris|t__SGB21446	1.4335	2.53224	0.4379	2.21104	0.00817	1.26412	0.73107	1.95671	1.26553	0.43949	0.23847	0.2149	0.18835	0.70753	1.72396	0.54865	1.80194	0.27433	1.67838	0.87749	2.51375	2.25534
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB30091|s__GGB30091_SGB43003|t__SGB43003	1.26154	0.46971	1.37915	0.36076	0.07221	0.24234	0.43484	0.97022	1.70647	0.03692	0.13345	0.11135	0.09416	0.29762	0.36168	0.09276	0.16774	0.32247	0.60863	0.00347	0.34745	0.07728
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae_unclassified|s__Muribaculaceae_bacterium_Isolate_110_HZI|t__SGB21445	1.24516	1.4459	0.95988	1.68515	0.03519	0.65385	1.32427	0.65025	0.44393	0.23154	1.7436	0.00269	0.11785	0.37227	1.4129	0.94733	2.52643	1.52194	1.35121	0.91034	1.48405	2.47773
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__GGB24132|s__GGB24132_SGB35935|t__SGB35935	1.10964	1.44675	0.37024	0.2864	0.0157	0.92445	1.03289	0.58827	0.41662	0.39619	1.13152	0.24533	0.13108	0.16699	0.26544	1.33561	0.617	1.15011	1.33962	0.42982	0.82683	1.04009
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__GGB30145|s__GGB30145_SGB43072|t__SGB43072	1.00763	0.08404	0.0572	0.02334	0.00952	0.04248	0.17927	0.42856	1.01597	0.00143	0.02198	0.00562	0.01831	0.00939	0.2743	0.02012	0.06164	0.1271	0.20848	0.00105	0.22183	0.0449
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella_freteri|t__SGB27768	1.00715	0.33548	1.21369	0.40907	0.2591	0.38888	0.26849	2.1105	1.49479	0.37924	0.42295	1.44716	0.36263	0.61507	0.18522	0.60512	0.34216	0.5706	0.32874	0.3285	1.55257	0.36789
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28875|s__GGB28875_SGB41555|t__SGB41555	0.93603	0.04841	0.00624	0.00939	0.00291	0.02836	0.04724	0.54583	0.58553	0.0	0.00118	0.06852	0.0	0.01243	0.0	0.01799	0.0	0.02914	0.01147	0.0	0.11264	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28831|s__GGB28831_SGB41487|t__SGB41487	0.912	0.88437	0.91154	0.0008	0.00204	0.25883	1.34133	0.44435	0.48803	0.01377	0.08971	0.0	0.03526	0.00666	0.31388	0.19236	0.05639	0.47971	0.16032	0.00199	0.40551	0.0578
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__bacterium_1XD42_1|t__SGB29420	0.86686	0.0225	0.07371	0.00093	0.0	0.0118	0.06036	0.16339	0.40647	0.0	0.0	0.00227	0.00352	0.05637	0.07405	0.00508	0.0253	0.0203	0.03137	0.00044	0.02394	0.01183
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium|t__SGB41475	0.80554	0.0	0.0	0.13211	0.02079	0.0	0.31769	0.0845	0.13932	0.00415	0.0	0.00892	0.1519	0.01073	0.0	0.0	0.0	0.0	0.0	0.00032	0.21308	0.05711
k__Bacteria|p__Firmicutes|c__CFGB9650|o__OFGB9650|f__FGB9650|g__GGB28980|s__GGB28980_SGB41692|t__SGB41692	0.78548	0.12461	2.72484	0.19442	0.31505	1.13249	0.41147	0.64704	1.67058	0.02861	0.1239	0.32096	1.11197	0.43504	0.36369	0.02834	0.11208	0.45796	0.32426	0.01098	0.33143	0.05825
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__GGB27876|s__GGB27876_SGB40310|t__SGB40310	0.72832	0.3387	0.20251	0.93982	0.15758	0.28255	2.54615	2.29717	1.56261	0.47265	1.49287	0.43235	0.18011	0.49932	0.32083	0.70131	0.08892	1.21669	0.39282	0.74423	1.05838	2.57391
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28807|s__GGB28807_SGB41461|t__SGB41461	0.71072	0.0	0.29136	0.03961	1.9637	0.02069	0.02868	0.03025	0.06729	0.01	0.0	0.25066	0.31542	0.02292	0.02065	0.0	0.0	0.02328	0.00151	0.0	0.1202	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae_unclassified|s__Muribaculaceae_bacterium|t__SGB21431	0.71011	7.11081	0.49213	1.13948	0.06208	9.82904	0.64096	1.48849	0.98949	0.5613	1.91444	0.13211	0.27281	0.12696	2.48094	1.85503	4.66396	1.06704	5.80799	0.44476	0.36958	1.18378
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB27778|s__GGB27778_SGB40192|t__SGB40192	0.66781	0.66862	4.35969	1.93047	0.04203	1.18093	0.24426	1.40287	1.4247	0.36213	0.71527	0.08282	1.1103	3.92869	2.11297	1.07966	0.92459	0.679	0.79478	0.34366	0.61072	0.99625
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__GGB24148|s__GGB24148_SGB35952|t__SGB35952	0.63728	3.40968	0.00679	3.06382	0.04876	5.25618	3.32734	1.04296	0.67026	1.89974	5.16079	0.00934	0.23524	0.64088	5.27353	6.23491	10.29101	6.61743	5.4608	2.33156	1.98056	4.77684
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum_gordoncarteri|t__SGB2087	0.61212	0.26908	0.03774	0.06625	0.00393	0.30086	3.2836	0.08573	0.04706	0.24113	0.73453	0.10892	0.09544	0.11808	0.36079	0.7139	1.01375	0.82667	0.8657	0.93107	1.20931	3.56004
k__Bacteria|p__Firmicutes|c__CFGB9658|o__OFGB9658|f__FGB9658|g__GGB29002|s__GGB29002_SGB41718|t__SGB41718	0.60885	0.0	0.0	0.0	0.00268	0.0	0.0	0.10381	0.05701	0.0	0.0	0.0	0.01433	0.00547	0.0	0.0	0.0	0.0	0.0	0.0	0.08523	0.00262
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__GGB28990|s__GGB28990_SGB41704|t__SGB41704	0.58224	0.25865	0.0164	0.0	0.00175	0.05595	0.75096	0.20775	0.41524	0.00592	0.19349	0.0501	0.0	0.0	0.2496	0.08176	0.04097	0.46936	1.05683	0.00178	0.60733	0.0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__bacterium_1xD42_87|t__SGB29426	0.54657	1.82262	0.00916	0.61612	0.16124	0.04228	1.81155	0.22226	0.40842	0.25175	0.44375	0.01509	0.32542	0.29896	2.4837	1.24777	1.12195	0.51143	0.00774	0.00524	2.35898	0.45066
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae_unclassified|s__Muribaculaceae_bacterium|t__SGB40323	0.54243	0.17529	0.34894	0.3105	0.05173	0.13338	0.44547	1.30817	0.80399	0.13645	0.36062	0.81234	0.12793	0.50797	0.13709	0.18561	0.1866	0.39412	0.18318	0.25103	0.85715	0.41776
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_SGB40885|t__SGB40885	0.53556	0.0	0.56615	0.00233	0.11748	0.00629	0.00149	0.02979	0.05097	0.0	0.0	0.0304	0.37994	0.00437	0.0	0.0	0.0	0.00174	0.00482	0.0	0.13558	0.00014
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB1503|s__GGB1503_SGB2082|t__SGB2082	0.52533	2.44158	0.0	1.24963	0.0023	0.8837	3.4362	0.77105	0.5412	0.68506	2.36277	0.0083	0.02805	0.51339	1.76386	2.85527	2.01418	2.03249	2.6971	0.98103	1.03879	3.0115
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum_intestinale|t__SGB2088	0.5102	2.24387	0.38043	1.80272	0.00307	1.80711	1.85552	0.41499	0.31286	0.5542	1.80801	0.04672	0.0335	0.26222	0.83738	1.38837	1.43513	1.38677	2.35779	1.11286	0.97436	2.05376
k__Bacteria|p__Proteobacteria|c__CFGB9469|o__OFGB9469|f__FGB9469|g__GGB28310|s__GGB28310_SGB40880|t__SGB40880	0.50424	0.32854	0.13575	0.31559	0.02926	0.38751	1.26724	0.43924	1.2373	0.21197	0.34408	0.09931	0.30808	1.45423	0.36428	0.26804	0.25073	2.62365	2.59076	0.04968	0.41029	0.16739
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28926|s__GGB28926_SGB41623|t__SGB41623	0.49085	0.00881	0.07722	0.20045	6e-05	0.07704	0.35328	0.17699	0.24253	0.00012	0.11657	0.00241	0.00945	0.02859	0.0242	0.00174	0.00016	0.09948	0.14162	0.00154	0.07458	0.03485
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Candidatus_Arthromitus|s__Candidatus_Arthromitus_sp_SFB_mouse|t__SGB8526	0.49064	0.27719	1.69999	0.21933	2.21201	0.25172	0.0393	0.00136	0.0	0.27519	0.16452	0.04414	0.0881	0.0488	0.17204	0.103	0.13496	0.01079	0.01405	0.07271	0.10193	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae_unclassified|s__Muribaculaceae_bacterium|t__SGB35903	0.46678	0.24047	0.04498	0.1287	0.03265	0.18517	1.97729	0.59138	0.42634	0.36812	1.14697	0.08857	0.06842	0.23516	0.64851	0.49732	0.76524	1.04218	1.53963	0.43909	0.44217	2.93182
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28870|s__GGB28870_SGB41546|t__SGB41546	0.46604	0.0	0.02586	0.0	0.0	0.00467	0.07052	0.0941	0.16123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00129	0.00394	0.0	0.07196	0.02668
k__Bacteria|p__Bacteroidetes|c__CFGB7480|o__OFGB7480|f__FGB7480|g__GGB23844|s__GGB23844_SGB35575|t__SGB35575	0.46237	0.1298	0.21363	0.43054	0.00195	0.20513	0.19487	0.33255	0.19409	0.06223	0.4046	0.06599	0.0676	0.09486	0.14219	0.23348	0.0732	0.23606	0.03312	0.15503	0.73719	0.56581
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus_reuteri|t__SGB7095	0.45675	0.94625	4.24771	0.75311	2.86159	3.435	1.69409	1.87314	1.14397	8.66193	0.07746	12.93635	8.55239	6.95588	0.17977	1.14006	0.03893	0.01565	0.07973	0.47311	0.10274	0.96335
k__Bacteria|p__Bacteroidetes|c__CFGB637|o__OFGB637|f__FGB637|g__GGB27849|s__GGB27849_SGB40283|t__SGB40283	0.45535	0.63491	0.01527	1.07639	0.00402	0.80598	0.91471	0.52991	0.40438	0.78631	0.42595	0.02719	0.03619	0.20687	0.24957	0.3556	1.20234	0.60628	0.57635	1.59208	0.56834	1.34989
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__GGB27892|s__GGB27892_SGB40326|t__SGB40326	0.43734	0.80457	0.05065	0.61181	0.00532	0.62199	0.69103	0.51995	0.36887	0.19738	0.56035	0.08076	0.03815	0.09621	0.56548	0.6909	1.07811	0.79937	0.70443	0.32649	0.49698	1.26806
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__GGB24149|s__GGB24149_SGB35953|t__SGB35953	0.41534	0.86598	0.47939	0.37393	0.03729	0.69045	0.31387	0.80444	0.51229	0.19658	1.04549	0.20366	0.15859	0.21779	0.38955	0.86058	1.83396	0.2828	0.53525	0.31294	0.40802	0.8167
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__GGB24146|s__GGB24146_SGB35950|t__SGB35950	0.41099	0.40747	0.19362	0.19565	0.0462	0.27348	0.20914	0.31355	0.18143	0.51035	0.47707	0.06206	0.16315	0.1353	0.15846	0.39245	0.70861	0.24462	0.24099	0.26407	0.27477	0.38241
k__Bacteria|p__Bacteroidetes|c__CFGB9384|o__OFGB9384|f__FGB9384|g__GGB27861|s__GGB27861_SGB40295|t__SGB40295	0.4065	0.82484	1.28941	0.27518	0.00853	0.52544	0.22588	0.90968	0.60486	0.09204	0.61301	0.05363	0.1433	0.15112	0.31205	0.68699	0.78639	0.1971	0.26784	0.09074	0.24089	0.35695
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Bacteroidales_unclassified|s__Bacteroidales_bacterium|t__SGB27761	0.40328	13.25027	0.03357	13.06754	0.04219	7.50433	4.42655	1.42338	1.16078	3.44696	5.23086	0.07097	0.13175	1.2135	8.17733	7.76637	19.38953	7.74856	10.31993	4.77261	1.93478	8.38439
k__Bacteria|p__Bacteroidetes|c__CFGB4425|o__OFGB4425|f__FGB4425|g__GGB27914|s__GGB27914_SGB40352|t__SGB40352	0.39677	0.2971	0.19493	0.18335	0.0001	0.28257	0.43086	0.36649	0.27297	0.06802	0.48384	0.01881	0.02405	0.0846	0.1449	0.42041	0.10629	0.44072	0.34776	0.09799	0.39868	0.41224
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium|t__SGB41675	0.39009	0.17415	1.18362	0.08816	0.5424	0.35005	0.07471	0.08984	0.19037	0.01727	0.19767	0.10142	0.45345	0.31417	0.80213	0.1309	0.32778	0.4619	0.63596	0.00293	0.14196	0.04389
k__Bacteria|p__Firmicutes|c__CFGB8157|o__OFGB8157|f__FGB8157|g__GGB28903|s__GGB28903_SGB41594|t__SGB41594	0.3887	1.24793	0.8195	0.01579	0.26049	0.44864	0.92478	1.40295	2.57139	0.12865	0.31282	0.19466	0.53419	0.38068	1.10842	0.21296	0.14474	0.99624	0.2111	0.00246	0.47988	0.11562
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_unclassified_SGB41498|t__SGB41498	0.37886	0.70752	0.0	0.01528	0.0	0.08079	0.24278	0.14351	0.29151	0.01436	0.00028	0.0	0.0	0.0	0.0	0.00383	0.0	0.13089	0.03559	0.0	0.05239	0.08859
k__Bacteria|p__Firmicutes|c__CFGB9633|o__OFGB9633|f__FGB9633|g__GGB28881|s__GGB28881_SGB41561|t__SGB41561	0.37695	0.02201	0.29752	0.21896	0.00843	0.05519	0.13953	0.30585	0.66295	0.01339	0.01212	0.0164	0.16605	0.07546	0.0941	0.00896	0.00661	0.0709	0.09213	1e-05	0.17725	0.04865
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_MD335|t__SGB5155	0.37547	0.00197	0.00155	0.0	0.0	0.01962	0.01931	0.03214	0.03546	0.10843	0.03773	0.00048	0.09945	0.06954	0.36642	0.0	0.09766	0.00603	0.58347	0.00048	0.07505	0.13133
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28927|s__GGB28927_SGB41625|t__SGB41625	0.33388	0.10108	0.15722	0.20503	0.00466	0.05852	0.74668	0.92163	1.93974	0.00761	0.11154	0.03029	0.03928	0.05558	0.10008	0.09631	0.01006	0.18774	0.29026	0.00528	0.41088	0.12585
k__Bacteria|p__Firmicutes|c__CFGB9644|o__OFGB9644|f__FGB9644|g__GGB28949|s__GGB28949_SGB41655|t__SGB41655	0.32624	0.48196	0.21214	0.87182	0.51047	0.20894	0.40583	0.21696	0.55291	0.12024	0.38108	0.10964	0.47845	0.28977	0.46327	0.15161	0.47044	0.52211	0.64859	0.05913	0.22461	0.03342
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__GGB28317|s__GGB28317_SGB40889|t__SGB40889	0.31771	0.0	0.0861	0.09296	0.00084	0.01151	0.14547	0.11324	0.1666	8e-05	0.00992	0.00386	0.0231	0.02503	0.01371	0.02307	0.00735	0.00923	0.03323	0.00099	0.10558	0.01642
k__Bacteria|p__Bacteroidetes|c__CFGB636|o__OFGB636|f__FGB636|g__GGB14001|s__GGB14001_SGB21428|t__SGB21428	0.31336	0.09365	0.10103	0.17812	0.02895	0.10914	0.35724	0.26131	0.16367	0.32729	0.49508	0.1304	0.04509	0.15702	0.10796	0.2364	0.28185	0.32773	0.13756	0.26649	0.30791	0.3077
k__Bacteria|p__Bacteroidetes|c__CFGB9395|o__OFGB9395|f__FGB9395|g__GGB27929|s__GGB27929_SGB40368|t__SGB40368	0.30711	0.09253	0.90789	0.0512	0.01814	0.09132	0.17101	0.61842	0.40567	0.18578	0.95213	0.10092	0.17039	0.04911	0.01612	0.89997	0.02111	0.26551	0.0428	0.04865	0.2322	0.13245
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__GGB27893|s__GGB27893_SGB40327|t__SGB40327	0.30373	0.46732	0.4966	0.64443	0.01559	0.29114	0.21238	0.69893	0.4484	0.31415	0.61589	0.22574	0.12445	0.14216	0.34092	0.35051	0.53734	0.28729	0.21151	0.20876	0.29391	0.52293
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_unclassified_SGB36958|t__SGB36958	0.28924	0.47502	2.59535	0.56713	0.0	0.52652	0.95507	1.3107	2.96974	0.00154	0.82769	0.2174	0.06632	1.21557	24.42179	0.67962	3.29676	0.02563	0.07906	0.27719	0.40407	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28793|s__GGB28793_SGB41446|t__SGB41446	0.2877	0.01575	0.15826	0.07076	0.03776	0.03957	0.25559	0.31255	0.40978	0.0028	0.11783	0.04834	0.15481	0.006	0.17798	0.0935	0.03229	0.33617	0.42738	0.0	0.1729	0.05459
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28791|s__GGB28791_SGB41444|t__SGB41444	0.27236	0.02558	0.00623	0.20342	0.08899	0.23813	0.05559	0.17073	0.3686	0.02887	0.0	0.06214	0.12984	0.11319	0.06074	0.005	0.03353	0.17135	0.12871	0.0	0.21134	0.10486
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__GGB30301|s__GGB30301_SGB43265|t__SGB43265	0.27157	0.01345	0.21888	0.0501	0.0	0.03724	0.09051	0.09012	0.0945	0.0	0.01358	0.0019	0.01914	0.036	0.04342	0.03006	0.00413	0.03639	0.01306	0.00024	0.06263	0.06353
k__Bacteria|p__Bacteria_unclassified|c__CFGB8157|o__OFGB8157|f__FGB8157|g__GGB28904|s__GGB28904_SGB41597|t__SGB41597	0.26811	0.03112	0.26646	0.12199	0.05371	0.10632	0.1255	0.26258	0.43693	0.30824	0.12659	0.01618	0.12232	0.16837	0.0335	0.05082	0.01789	0.01638	0.07149	0.00798	0.11904	0.02152
