#mpa_vJan21_CHOCOPhlAnSGB_202103
clade_name	R10_S209_L002_R1_001.fastqd_metagenome	R11_S210_L002_R1_001.fastqd_metagenome	R12_S211_L002_R1_001.fastqd_metagenome	R13_S212_L002_R1_001.fastqd_metagenome	R14_S213_L002_R1_001.fastqd_metagenome	R15_S214_L002_R1_001.fastqd_metagenome	R16_S215_L002_R1_001.fastqd_metagenome	R17_S216_L002_R1_001.fastqd_metagenome	R18_S217_L002_R1_001.fastqd_metagenome	R19_S218_L002_R1_001.fastqd_metagenome	R1_S200_L002_R1_001.fastqd_metagenome	R20_S219_L002_R1_001.fastqd_metagenome	R21_S220_L002_R1_001.fastqd_metagenome	R22_S221_L002_R1_001.fastqd_metagenome	R2_S201_L002_R1_001.fastqd_metagenome	R3_S202_L002_R1_001.fastqd_metagenome	R4_S203_L002_R1_001.fastqd_metagenome	R5_S204_L002_R1_001.fastqd_metagenome	R6_S205_L002_R1_001.fastqd_metagenome	R7_S206_L002_R1_001.fastqd_metagenome	R8_S207_L002_R1_001.fastqd_metagenome	R9_S208_L002_R1_001.fastqd_metagenome
k__Bacteria|p__Bacteroidetes|c__CFGB9375	0.25526	0.17809	0.64118	0.16525	0.00492	0.20753	0.06296	0.20674	0.24154	0.02677	0.07438	0.02451	0.21152	0.17083	0.19176	0.12136	0.07953	0.11746	0.15906	0.02361	0.32179	0.08194
k__Bacteria|p__Bacteroidetes|c__CFGB9388	0.2193	0.10049	0.42227	0.09387	0.04395	0.29864	0.15871	0.61812	0.43816	0.07845	0.21121	0.14333	0.07814	0.12668	0.0746	0.36435	0.0625	0.42985	0.11269	0.13814	0.51798	0.19002
k__Bacteria|p__Firmicutes|c__CFGB9827	0.19264	0.1137	0.17438	0.21806	0.00186	0.08441	0.3173	0.24155	0.3977	0.02509	0.09943	0.01373	0.1407	0.11886	0.22441	0.07441	0.10668	0.16306	0.318	0.01047	0.11479	0.11247
k__Bacteria|p__Proteobacteria|c__CFGB9318	0.16571	0.40167	0.55347	0.02483	0.00165	0.48996	0.48976	0.08515	0.10182	0.01306	0.80484	0.05812	0.01309	0.01224	0.03174	0.18299	0.47157	0.12677	0.267	0.2272	0.04223	0.14674
k__Bacteria|p__Firmicutes|c__CFGB9659	0.14583	0.21993	0.01322	0.02164	0.0	0.02797	0.00981	0.12102	0.25122	0.00087	0.03471	0.02152	0.00574	0.00136	0.05582	0.09642	0.08216	0.113	0.08297	0.00053	0.11987	0.01201
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0.12886	0.13309	0.0	0.04332	0.0	0.10841	0.0	0.0	0.0	0.0	0.01544	0.0	0.0003	0.0049	0.01688	0.06447	0.0	0.0363	0.106	0.00643	0.00194	0.14582
k__Bacteria|p__Firmicutes|c__CFGB9639	0.1049	0.03252	0.01582	0.12407	0.00036	0.01799	0.25226	0.10426	0.19185	0.04853	0.0136	0.01165	0.00353	0.00372	0.07369	0.01265	0.02209	0.05272	0.05659	0.00321	0.08801	0.07291
k__Bacteria|p__Firmicutes|c__CFGB9479	0.09907	0.0634	0.00564	0.19935	0.0	0.03525	0.2618	0.17191	0.29931	0.02917	0.09115	0.00323	0.02712	0.02265	0.03155	0.02749	0.03537	0.04252	0.1485	0.01172	0.12947	0.07081
k__Bacteria|p__Firmicutes|c__CFGB9629	0.0867	0.092	1.23477	0.04466	0.0	0.03796	0.10411	0.03199	0.04643	0.00956	0.0137	0.02344	0.03331	0.00913	0.14546	0.07357	0.04107	0.0622	0.1016	0.00137	0.0	0.06348
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.08484	0.1741	0.02591	0.43649	0.03154	0.11127	0.23776	0.15057	0.08907	0.32016	0.19364	0.26339	0.10571	0.37036	0.11736	0.14992	0.30707	0.1236	0.21977	0.19367	0.29354	0.30613
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.05212	0.0	0.0	0.0	0.0	0.0	0.09974	0.04595	0.02529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01134	0.05755	0.26533
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123	0.05161	0.02056	0.01446	0.10423	0.04758	0.0173	0.07029	0.02991	0.05415	0.02563	0.03126	0.00476	0.0217	0.0062	0.01597	0.00797	0.01267	0.1147	0.16297	0.00523	0.12951	0.05503
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.04298	0.04476	0.00258	0.12454	0.07501	0.16277	0.23166	0.02012	0.00668	4.05387	0.1177	0.01115	0.0307	0.01772	0.00877	0.07871	0.13577	0.04184	0.09533	0.45402	0.1953	0.22811
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644	0.04184	0.0228	0.01799	0.16278	0.05413	0.01179	0.07758	0.07853	0.18376	0.01504	0.02894	0.0601	0.12477	0.06248	0.12158	0.02283	0.01606	0.05672	0.10838	0.00169	0.18338	0.01651
k__Bacteria|p__Firmicutes|c__CFGB9660	0.0263	0.00395	0.0	0.8735	0.06577	0.00016	0.70178	1.28821	2.58139	0.01938	0.48488	0.03207	0.01728	0.01794	0.98044	0.71322	0.0	0.2528	0.01552	0.00151	0.00133	0.99801
k__Bacteria|p__Firmicutes|c__CFGB9990	0.02192	0.00454	0.00725	0.03883	0.0	0.0133	0.08922	0.09452	0.14801	0.0	0.0	0.00064	0.00406	0.00797	0.02695	0.01495	0.0	0.00858	0.04736	0.0	0.08653	0.00797
k__Bacteria|p__Firmicutes|c__CFGB9836	0.01586	0.0781	0.0277	0.04835	0.0	0.09717	0.00349	0.06696	0.12306	0.00661	0.03651	0.01934	0.09096	0.0291	0.00342	0.02951	0.0016	0.01379	0.02754	0.00124	0.02315	0.01098
k__Bacteria|p__Firmicutes|c__CFGB9618	0.01517	0.08924	0.10849	0.7066	0.0514	0.0237	0.30018	0.24195	0.16266	0.04992	0.99459	0.01833	0.0636	0.00313	0.01692	0.96627	0.02473	0.44819	0.10462	0.00349	0.07781	0.03811
k__Bacteria|p__Firmicutes|c__CFGB9636	0.00764	0.63242	0.0	0.0	0.0	0.38077	0.83188	0.0774	0.06992	0.12087	0.60989	0.0	0.0	0.0	0.06743	0.48026	0.16635	1.12085	1.83843	0.02828	0.93824	0.03703
k__Bacteria|p__Tenericutes|c__Mollicutes	0.00703	0.19388	0.0	0.0	0.00381	0.03119	0.08322	0.90301	0.73123	0.04556	0.18835	0.0	0.14135	0.04848	0.02492	0.30626	0.01462	0.15716	0.25376	0.04646	0.56464	0.04374
k__Bacteria|p__Firmicutes|c__CFGB9517	0.0065	0.0	0.00094	0.00204	0.0	0.00016	0.00684	0.0085	0.00384	0.0	0.0	0.0	0.00797	0.00372	0.00097	0.00079	0.0	0.00433	0.00098	0.0	0.00081	0.00098
k__Bacteria|p__Firmicutes|c__CFGB9511	0.00419	0.0012	0.0	0.0	0.0	0.02626	0.01447	0.02428	0.00934	0.0	0.01528	0.0	0.00081	0.0	0.03779	0.03222	0.0	0.01377	0.01321	0.00366	0.013	0.01583
k__Bacteria|p__Firmicutes|c__CFGB28398	0.00303	0.0	0.0	0.0	0.0	0.02341	0.0207	0.00092	0.0	0.0	0.0	0.0	0.00016	0.0	0.00342	0.00329	0.0	0.00371	0.00147	0.0	0.0	0.00013
