# Gene Family	merged_3043-12_S189_L002__kneaddata_paired_Abundance-RPKs
UniRef90_A0A2R4PEP3|g__Klebsiella.s__Klebsiella_michiganensis	1715.6683956684
UniRef90_A0A2R4PEP3|unclassified	64.9412219482
UniRef90_A0A0T5XHN0	4096.7019582893
UniRef90_A0A0T5XHN0|g__Klebsiella.s__Klebsiella_oxytoca	4096.7019582893
UniRef90_A0A241QMH4	4095.8453922897
UniRef90_A0A241QMH4|g__Staphylococcus.s__Staphylococcus_aureus	1567.3264199095
UniRef90_A0A241QMH4|g__Klebsiella.s__Klebsiella_oxytoca	1548.0244031331
UniRef90_A0A241QMH4|g__Klebsiella.s__Klebsiella_michiganensis	980.4945692472
UniRef90_A0A0T5XPV3	4085.1067870880
UniRef90_A0A0T5XPV3|g__Klebsiella.s__Klebsiella_oxytoca	4085.1067870880
UniRef90_A0A0P7MEE1	4080.0357406919
UniRef90_A0A0P7MEE1|g__Klebsiella.s__Klebsiella_grimontii	3994.4849745522
UniRef90_A0A0P7MEE1|g__Klebsiella.s__Klebsiella_oxytoca	47.1400321776
UniRef90_A0A0P7MEE1|g__Klebsiella.s__Klebsiella_michiganensis	38.4107339621
UniRef90_A0A0T5XFI1	4070.6107945911
UniRef90_A0A0T5XFI1|g__Klebsiella.s__Klebsiella_oxytoca	4058.7137265815
UniRef90_A0A0T5XFI1|unclassified	11.8970680096
UniRef90_A0A2T7AFH0	4056.6997091602
UniRef90_A0A2T7AFH0|g__Klebsiella.s__Klebsiella_michiganensis	2090.9358100419
UniRef90_A0A2T7AFH0|g__Klebsiella.s__Klebsiella_oxytoca	1960.8342947642
UniRef90_A0A2T7AFH0|g__Klebsiella.s__Klebsiella_grimontii	4.9296043542
UniRef90_A0A2H9EYD4	3995.9766305605
UniRef90_A0A2H9EYD4|g__Klebsiella.s__Klebsiella_michiganensis	2132.9764782841
UniRef90_A0A2H9EYD4|g__Klebsiella.s__Klebsiella_oxytoca	1863.0001522764
UniRef90_A0A2T7AFD7	3989.7206802116
UniRef90_A0A2T7AFD7|g__Klebsiella.s__Klebsiella_oxytoca	2047.5901876485
UniRef90_A0A2T7AFD7|g__Klebsiella.s__Klebsiella_michiganensis	1940.5920273832
UniRef90_A0A2T7AFD7|g__Klebsiella.s__Klebsiella_grimontii	1.5384651798
UniRef90_A0A1Y6M823	3969.4212470864
UniRef90_A0A1Y6M823|g__Klebsiella.s__Klebsiella_michiganensis	3015.0154067395
UniRef90_A0A1Y6M823|g__Klebsiella.s__Klebsiella_oxytoca	954.4058403469
UniRef90_A0A0J2D7Y1	3959.8747327797
UniRef90_A0A0J2D7Y1|g__Klebsiella.s__Klebsiella_michiganensis	1785.4282468188
UniRef90_A0A0J2D7Y1|g__Klebsiella.s__Klebsiella_oxytoca	1685.8016539849
